beta1;beta2;beta_inf;firstdigit;seconddigit;pitch;sigma;AoA;Re;Cl;Cd
43.18999999;36.36748841;39.94823147;5;5;50.81441346;0.394948974;8;567423.4614;0.241434556;0.017855135
43.18999999;37.79425753;40.60075622;2;3;24.18558654;1.105051026;8;567423.4614;0.571658465;0.016707582
69.80999998;67.42592586;68.68132252;5;3;24.18558654;1.105051026;8;567423.4614;0.274580894;0.017638241
73.80999999;70.80780167;72.43225249;2;5;24.18558654;1.105051026;8;567423.4614;0.702686592;0.018009688
43.18999999;39.36292719;41.3326028;5;5;24.18558654;1.105051026;8;567423.4614;0.139564914;0.015937409
43.18999999;39.70023933;41.49207092;2;3;50.81441346;1.105051026;8;567423.4614;0.384900444;0.015070424
69.80999998;67.58779233;68.75417203;5;3;50.81441346;1.105051026;8;567423.4614;0.14864964;0.011940933
43.18999999;39.67846439;41.48175337;2;5;50.81441346;1.105051026;8;567423.4614;0.128084838;0.015603795
47.18999998;39.86029632;43.74840534;5;5;50.81441346;1.105051026;8;567423.4614;0.790763962;0.019349019
53.19;53.18989899;53.18994949;2;3;24.18558654;0.394948974;-2;567423.4614;1.046842884;0.127065385
53.19;45.50177837;49.64712494;5;3;24.18558654;0.394948974;-2;567423.4614;0.877568248;0.027574525
79.81;79.80902498;79.80951251;2;5;24.18558654;0.394948974;-2;567423.4614;0.455001887;0.050677247
79.81;76.43500064;78.35894354;5;5;24.18558654;0.394948974;-2;567423.4614;0.844601889;0.060427935
53.19;45.58261477;49.68164468;2;3;50.81441346;0.394948974;-2;567423.4614;0.869528404;0.027411069
79.81;73.36561005;77.34928577;5;3;50.81441346;0.394948974;-2;567423.4614;0.448103502;0.023601801
53.19;53.18046648;53.18523377;2;5;50.81441346;0.394948974;-2;567423.4614;1.05262775;0.110552476
37.19000001;35.90461996;36.5526541;5;5;50.81441346;0.394948974;-2;567423.4614;0.121542543;0.013545448
37.19000001;38.98186442;38.09691343;5;3;24.18558654;1.105051026;-2;567423.4614;-0.087473529;0.018402271
79.81;79.80132245;79.80566305;5;5;24.18558654;1.105051026;-2;567423.4614;0.472759605;0.044954739
63.80999999;64.74080516;64.28324934;2;3;50.81441346;1.105051026;-2;567423.4614;-0.112427441;0.022317734
63.80999999;64.67447765;64.24899708;5;3;50.81441346;1.105051026;-2;567423.4614;-0.104847444;0.021329859
63.80999999;62.90727083;63.3657236;2;5;50.81441346;1.105051026;-2;567423.4614;0.144011853;0.015752071
37.19000001;35.36612012;36.28871546;5;5;50.81441346;1.105051026;-2;567423.4614;0.18047314;0.016267051
79.81;79.80034317;79.80517385;2;3;24.18558654;0.394948974;14;567423.4614;0.485719421;0.05083924
53.19;40.75072264;47.69931369;5;3;24.18558654;0.394948974;14;567423.4614;0.445596825;0.014686865
79.81;76.23668339;78.28614764;2;5;24.18558654;0.394948974;14;567423.4614;0.950575121;0.047695079
79.81;76.62105255;78.42832136;5;5;24.18558654;0.394948974;14;567423.4614;0.91425789;0.037196519
63.80999999;67.23544223;65.63524931;2;3;50.81441346;0.394948974;14;567423.4614;-0.334492379;0.016753284
53.19;53.18989899;53.18994949;5;3;50.81441346;0.394948974;14;567423.4614;1.046842884;0.127065385
63.80999999;64.55398642;64.18698536;2;5;50.81441346;0.394948974;14;567423.4614;-0.094306443;0.016445001
37.19000001;39.26635495;38.2429988;5;5;50.81441346;0.394948974;14;567423.4614;-0.099769258;0.017913788
63.80999999;63.8530601;63.83154651;5;3;24.18558654;1.105051026;14;567423.4614;-0.0369354;0.015200861
79.81;76.7409846;78.47361202;2;5;24.18558654;1.105051026;14;567423.4614;0.842720418;0.044967716
37.19000001;37.33688967;37.26351647;5;5;24.18558654;1.105051026;14;567423.4614;-0.027207784;0.015807968
53.19;41.08560705;47.83180404;2;3;50.81441346;1.105051026;14;567423.4614;0.436910253;0.015121209
53.19;36.95217118;46.2398626;5;3;50.81441346;1.105051026;14;567423.4614;0.515957282;0.018169989
37.19000001;37.52030469;37.35551572;2;5;50.81441346;1.105051026;14;567423.4614;-0.048679043;0.015316237
37.19000001;35.81119136;36.50673452;5;5;50.81441346;1.105051026;14;567423.4614;0.039041241;0.020782639
